"category_name","category_slug","source_html","source_canonical","page_title","page_slug","target_url","target_path","images_copied"
"Custom Python scripts","custom-python-scripts","Tham Khao 2\Custom Python scripts\How to export proxy details with Python - Multilogin.html","https://multilogin.com/help/en_US/exporting-proxy-details","How to export proxy details with Python","how-to-export-proxy-details-wi","https://saasverdict.com/guides/mlx-api-hub/custom-python-scripts/how-to-export-proxy-details-wi/","guides/mlx-api-hub/custom-python-scripts/how-to-export-proxy-details-wi/index.html","10"
"Custom Python scripts","custom-python-scripts","Tham Khao 2\Custom Python scripts\How to import external proxy lists with Python - Multilogin.html","https://multilogin.com/help/en_US/converting-proxy-lists","How to import external proxy lists with Python","how-to-import-external-proxy-l","https://saasverdict.com/guides/mlx-api-hub/custom-python-scripts/how-to-import-external-proxy-l/","guides/mlx-api-hub/custom-python-scripts/how-to-import-external-proxy-l/index.html","10"
"Custom Python scripts","custom-python-scripts","Tham Khao 2\Custom Python scripts\How to launch Multilogin desktop app via script - Multilogin.html","https://multilogin.com/help/en_US/desktop-app-via-script","How to launch Multilogin desktop app via script","how-to-launch-multilogin-deskt","https://saasverdict.com/guides/mlx-api-hub/custom-python-scripts/how-to-launch-multilogin-deskt/","guides/mlx-api-hub/custom-python-scripts/how-to-launch-multilogin-deskt/index.html","10"
"Custom Python scripts","custom-python-scripts","Tham Khao 2\Custom Python scripts\How to log in to Multilogin with Python - Multilogin.html","https://multilogin.com/help/en_US/log-in-automatically","How to log in to Multilogin with Python","how-to-log-in-to-multilogin-wi","https://saasverdict.com/guides/mlx-api-hub/custom-python-scripts/how-to-log-in-to-multilogin-wi/","guides/mlx-api-hub/custom-python-scripts/how-to-log-in-to-multilogin-wi/index.html","10"
"Custom Python scripts","custom-python-scripts","Tham Khao 2\Custom Python scripts\How to retrieve API tokens with Python - Multilogin.html","https://multilogin.com/help/en_US/retrieve-token-python","How to retrieve API tokens with Python","how-to-retrieve-api-tokens-wit","https://saasverdict.com/guides/mlx-api-hub/custom-python-scripts/how-to-retrieve-api-tokens-wit/","guides/mlx-api-hub/custom-python-scripts/how-to-retrieve-api-tokens-wit/index.html","10"
"Custom Python scripts","custom-python-scripts","Tham Khao 2\Custom Python scripts\Web scraping with Selenium 101 - Multilogin.html","https://multilogin.com/help/en_US/web-scraping-101","Web scraping with Selenium 101","web-scraping-with-selenium-101","https://saasverdict.com/guides/mlx-api-hub/custom-python-scripts/web-scraping-with-selenium-101/","guides/mlx-api-hub/custom-python-scripts/web-scraping-with-selenium-101/index.html","13"
"External automation tools","external-automation-to","Tham Khao 2\External automation tools\Scale your account verification with SMS pools in Multilogin - Multilogin.html","https://multilogin.com/help/en_US/sms-pools-in-multilogin","Scale your account verification with SMS pools in Multilogin","scale-your-account-verificatio","https://saasverdict.com/guides/mlx-api-hub/external-automation-to/scale-your-account-verificatio/","guides/mlx-api-hub/external-automation-to/scale-your-account-verificatio/index.html","10"
"External automation tools","external-automation-to","Tham Khao 2\External automation tools\Unlock faster automation with CAPTCHA solvers in Multilogin - Multilogin.html","https://multilogin.com/help/en_US/captcha-solvers-in-multilogin","Unlock faster automation with CAPTCHA solvers in Multilogin","unlock-faster-automation-with","https://saasverdict.com/guides/mlx-api-hub/external-automation-to/unlock-faster-automation-with/","guides/mlx-api-hub/external-automation-to/unlock-faster-automation-with/index.html","10"
"Low-code automation with Postman","low-code-automation-wi","Tham Khao 2\Low-code automation with Postman\How to create a Multilogin profile with Postman - Multilogin.html","https://multilogin.com/help/en_US/creating-a-profile-with-postman","How to create a Multilogin profile with Postman","how-to-create-a-multilogin-pro","https://saasverdict.com/guides/mlx-api-hub/low-code-automation-wi/how-to-create-a-multilogin-pro/","guides/mlx-api-hub/low-code-automation-wi/how-to-create-a-multilogin-pro/index.html","11"
"Low-code automation with Postman","low-code-automation-wi","Tham Khao 2\Low-code automation with Postman\How to create a quick Multilogin profile with Postman - Multilogin.html","https://multilogin.com/help/en_US/creating-a-quick-profile-with-postman","How to create a quick Multilogin profile with Postman","how-to-create-a-quick-multilog","https://saasverdict.com/guides/mlx-api-hub/low-code-automation-wi/how-to-create-a-quick-multilog/","guides/mlx-api-hub/low-code-automation-wi/how-to-create-a-quick-multilog/index.html","12"
"Low-code automation with Postman","low-code-automation-wi","Tham Khao 2\Low-code automation with Postman\How to enable 2FA (two-factor authentication) with Postman - Multilogin.html","https://multilogin.com/help/en_US/how-to-enable-2fa-in-postman","How to enable 2FA (two-factor authentication) with Postman","how-to-enable-2fa-two-factor-a","https://saasverdict.com/guides/mlx-api-hub/low-code-automation-wi/how-to-enable-2fa-two-factor-a/","guides/mlx-api-hub/low-code-automation-wi/how-to-enable-2fa-two-factor-a/index.html","15"
"Low-code automation with Postman","low-code-automation-wi","Tham Khao 2\Low-code automation with Postman\How to enable command flags for Mimic with Postman - Multilogin.html","https://multilogin.com/help/en_US/mimic-command-flags","How to enable command flags for Mimic with Postman","how-to-enable-command-flags-fo","https://saasverdict.com/guides/mlx-api-hub/low-code-automation-wi/how-to-enable-command-flags-fo/","guides/mlx-api-hub/low-code-automation-wi/how-to-enable-command-flags-fo/index.html","14"
"Low-code automation with Postman","low-code-automation-wi","Tham Khao 2\Low-code automation with Postman\How to export Multilogin cookies with Postman - Multilogin.html","https://multilogin.com/help/en_US/how-to-export-cookies-using-api","How to export Multilogin cookies with Postman","how-to-export-multilogin-cooki","https://saasverdict.com/guides/mlx-api-hub/low-code-automation-wi/how-to-export-multilogin-cooki/","guides/mlx-api-hub/low-code-automation-wi/how-to-export-multilogin-cooki/index.html","11"
"Low-code automation with Postman","low-code-automation-wi","Tham Khao 2\Low-code automation with Postman\How to generate Multilogin automation tokens with Postman - Multilogin.html","https://multilogin.com/help/en_US/automation-token","How to generate Multilogin automation tokens with Postman","how-to-generate-multilogin-aut","https://saasverdict.com/guides/mlx-api-hub/low-code-automation-wi/how-to-generate-multilogin-aut/","guides/mlx-api-hub/low-code-automation-wi/how-to-generate-multilogin-aut/index.html","13"
"Low-code automation with Postman","low-code-automation-wi","Tham Khao 2\Low-code automation with Postman\How to get Multilogin element IDs with Postman - Multilogin.html","https://multilogin.com/help/en_US/get-profile-folder-workspace-ids-postman","How to get Multilogin element IDs with Postman","how-to-get-multilogin-element","https://saasverdict.com/guides/mlx-api-hub/low-code-automation-wi/how-to-get-multilogin-element/","guides/mlx-api-hub/low-code-automation-wi/how-to-get-multilogin-element/index.html","15"
"Low-code automation with Postman","low-code-automation-wi","Tham Khao 2\Low-code automation with Postman\How to install browser extensions with Postman - Multilogin.html","https://multilogin.com/help/en_US/install-browser-extensions-with-postman","How to install browser extensions with Postman","how-to-install-browser-extensi","https://saasverdict.com/guides/mlx-api-hub/low-code-automation-wi/how-to-install-browser-extensi/","guides/mlx-api-hub/low-code-automation-wi/how-to-install-browser-extensi/index.html","11"
"Low-code automation with Postman","low-code-automation-wi","Tham Khao 2\Low-code automation with Postman\How to navigate Multilogin API documentation with Postman - Multilogin.html","https://multilogin.com/help/en_US/how-to-navigate-postman-documentation","How to navigate Multilogin API documentation with Postman","how-to-navigate-multilogin-api","https://saasverdict.com/guides/mlx-api-hub/low-code-automation-wi/how-to-navigate-multilogin-api/","guides/mlx-api-hub/low-code-automation-wi/how-to-navigate-multilogin-api/index.html","18"
"Low-code automation with Postman","low-code-automation-wi","Tham Khao 2\Low-code automation with Postman\How to save a quick profile in local storage with Postman - Multilogin.html","https://multilogin.com/help/en_US/how-to-save-a-quick-profile-in-local-storage-with-postman","How to save a quick profile in local storage with Postman","how-to-save-a-quick-profile-in","https://saasverdict.com/guides/mlx-api-hub/low-code-automation-wi/how-to-save-a-quick-profile-in/","guides/mlx-api-hub/low-code-automation-wi/how-to-save-a-quick-profile-in/index.html","13"
"Low-code automation with Postman","low-code-automation-wi","Tham Khao 2\Low-code automation with Postman\How to set up Multilogin automation with Postman - Multilogin.html","https://multilogin.com/help/en_US/configure-postman-for-multilogin","How to set up Multilogin automation with Postman","how-to-set-up-multilogin-autom","https://saasverdict.com/guides/mlx-api-hub/low-code-automation-wi/how-to-set-up-multilogin-autom/","guides/mlx-api-hub/low-code-automation-wi/how-to-set-up-multilogin-autom/index.html","15"
"Low-code automation with Postman","low-code-automation-wi","Tham Khao 2\Low-code automation with Postman\How to start a Multilogin profile with Postman - Multilogin.html","https://multilogin.com/help/en_US/starting-a-profile-with-postman","How to start a Multilogin profile with Postman","how-to-start-a-multilogin-prof","https://saasverdict.com/guides/mlx-api-hub/low-code-automation-wi/how-to-start-a-multilogin-prof/","guides/mlx-api-hub/low-code-automation-wi/how-to-start-a-multilogin-prof/index.html","11"
"Low-code automation with Postman","low-code-automation-wi","Tham Khao 2\Low-code automation with Postman\How to stop a Multilogin profile with Postman - Multilogin.html","https://multilogin.com/help/en_US/stopping-a-profile-with-postman","How to stop a Multilogin profile with Postman","how-to-stop-a-multilogin-profi","https://saasverdict.com/guides/mlx-api-hub/low-code-automation-wi/how-to-stop-a-multilogin-profi/","guides/mlx-api-hub/low-code-automation-wi/how-to-stop-a-multilogin-profi/index.html","11"
"Low-code automation with Postman","low-code-automation-wi","Tham Khao 2\Low-code automation with Postman\How to update a Multilogin profile with Postman - Multilogin.html","https://multilogin.com/help/en_US/updating-a-profile-with-postman","How to update a Multilogin profile with Postman","how-to-update-a-multilogin-pro","https://saasverdict.com/guides/mlx-api-hub/low-code-automation-wi/how-to-update-a-multilogin-pro/","guides/mlx-api-hub/low-code-automation-wi/how-to-update-a-multilogin-pro/index.html","12"
"Low-code automation with Postman","low-code-automation-wi","Tham Khao 2\Low-code automation with Postman\How to use bookmark manager in Multilogin - Multilogin.html","https://multilogin.com/help/en_US/how-to-use-bookmark-manager","How to use bookmark manager in Multilogin","how-to-use-bookmark-manager-in","https://saasverdict.com/guides/mlx-api-hub/low-code-automation-wi/how-to-use-bookmark-manager-in/","guides/mlx-api-hub/low-code-automation-wi/how-to-use-bookmark-manager-in/index.html","25"
"Low-code automation with Postman","low-code-automation-wi","Tham Khao 2\Low-code automation with Postman\How to use Multilogin API as a team member with Postman - Multilogin.html","https://multilogin.com/help/en_US/how-to-use-api-as-a-team-member-with-postman","How to use Multilogin API as a team member with Postman","how-to-use-multilogin-api-as-a","https://saasverdict.com/guides/mlx-api-hub/low-code-automation-wi/how-to-use-multilogin-api-as-a/","guides/mlx-api-hub/low-code-automation-wi/how-to-use-multilogin-api-as-a/index.html","19"
"Low-code automation with Postman","low-code-automation-wi","Tham Khao 2\Low-code automation with Postman\Why use Postman with Multilogin_ - Multilogin.html","https://multilogin.com/help/en_US/why-use-postman-with-multilogin-x","Why use Postman with Multilogin?","why-use-postman-with-multilogi","https://saasverdict.com/guides/mlx-api-hub/low-code-automation-wi/why-use-postman-with-multilogi/","guides/mlx-api-hub/low-code-automation-wi/why-use-postman-with-multilogi/index.html","11"
"Puppeteer, Selenium, and Playwright","puppeteer-selenium-and","Tham Khao 2\Puppeteer, Selenium, and Playwright\Getting started with automation scripting - Multilogin.html","https://multilogin.com/help/en_US/scripting-getting-started","Getting started with automation scripting","getting-started-with-automatio","https://saasverdict.com/guides/mlx-api-hub/puppeteer-selenium-and/getting-started-with-automatio/","guides/mlx-api-hub/puppeteer-selenium-and/getting-started-with-automatio/index.html","15"
"Puppeteer, Selenium, and Playwright","puppeteer-selenium-and","Tham Khao 2\Puppeteer, Selenium, and Playwright\How to choose the best automation framework - Multilogin.html","https://multilogin.com/help/en_US/best-automation-framework-for-your-scripts","How to choose the best automation framework","how-to-choose-the-best-automat","https://saasverdict.com/guides/mlx-api-hub/puppeteer-selenium-and/how-to-choose-the-best-automat/","guides/mlx-api-hub/puppeteer-selenium-and/how-to-choose-the-best-automat/index.html","10"
"Puppeteer, Selenium, and Playwright","puppeteer-selenium-and","Tham Khao 2\Puppeteer, Selenium, and Playwright\How to troubleshoot WebDriver connection issues - Multilogin.html","https://multilogin.com/help/en_US/troubleshooting-webdriver-connection-issues-with-multilogin-api","How to troubleshoot WebDriver connection issues","how-to-troubleshoot-webdriver","https://saasverdict.com/guides/mlx-api-hub/puppeteer-selenium-and/how-to-troubleshoot-webdriver/","guides/mlx-api-hub/puppeteer-selenium-and/how-to-troubleshoot-webdriver/index.html","10"
"Puppeteer, Selenium, and Playwright","puppeteer-selenium-and","Tham Khao 2\Puppeteer, Selenium, and Playwright\Playwright automation example - Multilogin.html","https://multilogin.com/help/en_US/playwright-automation-example","Playwright automation example","playwright-automation-example","https://saasverdict.com/guides/mlx-api-hub/puppeteer-selenium-and/playwright-automation-example/","guides/mlx-api-hub/puppeteer-selenium-and/playwright-automation-example/index.html","10"
"Puppeteer, Selenium, and Playwright","puppeteer-selenium-and","Tham Khao 2\Puppeteer, Selenium, and Playwright\Puppeteer automation example - Multilogin.html","https://multilogin.com/help/en_US/puppeteer-automation-example","Puppeteer automation example","puppeteer-automation-example","https://saasverdict.com/guides/mlx-api-hub/puppeteer-selenium-and/puppeteer-automation-example/","guides/mlx-api-hub/puppeteer-selenium-and/puppeteer-automation-example/index.html","10"
"Puppeteer, Selenium, and Playwright","puppeteer-selenium-and","Tham Khao 2\Puppeteer, Selenium, and Playwright\Selenium automation example - Multilogin.html","https://multilogin.com/help/en_US/selenium-automation-example","Selenium automation example","selenium-automation-example","https://saasverdict.com/guides/mlx-api-hub/puppeteer-selenium-and/selenium-automation-example/","guides/mlx-api-hub/puppeteer-selenium-and/selenium-automation-example/index.html","10"
"Quick solutions with Developer Tools","quick-solutions-with-d","Tham Khao 2\Quick solutions with Developer Tools\How to find a user ID in DevTools - Multilogin.html","https://multilogin.com/help/en_US/retrieving-user-id","How to find a user ID in DevTools","how-to-find-a-user-id-in-devto","https://saasverdict.com/guides/mlx-api-hub/quick-solutions-with-d/how-to-find-a-user-id-in-devto/","guides/mlx-api-hub/quick-solutions-with-d/how-to-find-a-user-id-in-devto/index.html","12"
"Quick solutions with Developer Tools","quick-solutions-with-d","Tham Khao 2\Quick solutions with Developer Tools\How to get API tokens in DevTools - Multilogin.html","https://multilogin.com/help/en_US/retrieving-the-token","How to get API tokens in DevTools","how-to-get-api-tokens-in-devto","https://saasverdict.com/guides/mlx-api-hub/quick-solutions-with-d/how-to-get-api-tokens-in-devto/","guides/mlx-api-hub/quick-solutions-with-d/how-to-get-api-tokens-in-devto/index.html","12"
"Quick solutions with Developer Tools","quick-solutions-with-d","Tham Khao 2\Quick solutions with Developer Tools\How to get profile, folder, and workspace IDs in DevTools - Multilogin.html","https://multilogin.com/help/en_US/retrieving-folder-workspace-ids","How to get profile, folder, and workspace IDs in DevTools","how-to-get-profile-folder-and","https://saasverdict.com/guides/mlx-api-hub/quick-solutions-with-d/how-to-get-profile-folder-and/","guides/mlx-api-hub/quick-solutions-with-d/how-to-get-profile-folder-and/index.html","14"
"Quick solutions with Developer Tools","quick-solutions-with-d","Tham Khao 2\Quick solutions with Developer Tools\Multilogin X API.html","https://documenter.getpostman.com/view/28533318/2s946h9Cv9","Multilogin X API","multilogin-x-api","https://saasverdict.com/guides/mlx-api-hub/quick-solutions-with-d/multilogin-x-api/","guides/mlx-api-hub/quick-solutions-with-d/multilogin-x-api/index.html","0"
"Script runner & predefined scripts","script-runner-and-pred","Tham Khao 2\Script runner & predefined scripts\How to control core updates via API - Multilogin.html","https://multilogin.com/help/en_US/how-to-control-core-updates-via-api","How to control core updates via API","how-to-control-core-updates-vi","https://saasverdict.com/guides/mlx-api-hub/script-runner-and-pred/how-to-control-core-updates-vi/","guides/mlx-api-hub/script-runner-and-pred/how-to-control-core-updates-vi/index.html","10"
"Script runner & predefined scripts","script-runner-and-pred","Tham Khao 2\Script runner & predefined scripts\How to run CookieRobot using Script runner in Postman - Multilogin.html","https://multilogin.com/help/en_US/cookie-robot-script","How to run CookieRobot using Script runner in Postman","how-to-run-cookierobot-using-s","https://saasverdict.com/guides/mlx-api-hub/script-runner-and-pred/how-to-run-cookierobot-using-s/","guides/mlx-api-hub/script-runner-and-pred/how-to-run-cookierobot-using-s/index.html","22"
"Script runner & predefined scripts","script-runner-and-pred","Tham Khao 2\Script runner & predefined scripts\How to use the strict mode via API - Multilogin.html","https://multilogin.com/help/en_US/how-to-use-the-strict-mode-via-api","How to use the strict mode via API","how-to-use-the-strict-mode-via","https://saasverdict.com/guides/mlx-api-hub/script-runner-and-pred/how-to-use-the-strict-mode-via/","guides/mlx-api-hub/script-runner-and-pred/how-to-use-the-strict-mode-via/index.html","11"
